CpG,Location,Chr,Pos,Gene,Type,Beta,SE,P,Details,StudyID,Author,Consortium,PMID,Date,Trait,EFO,Analysis,Source,Outcome,Exposure,Covariates,Outcome_Units,Exposure_Units,Methylation_Array,Tissue,Further_Details,N,N_Cohorts,Age,Sex,Ancestry
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.45,0.111,5.6e-05,NA,Gadd-DA_ubash3b_protein_levels__seqid___12558-3__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,UBASH3B protein levels (SeqId = 12558-3),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,UBASH3B protein levels (SeqId = 12558-3),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Ubiquitin-associated and SH3 domain-containing protein B,774,1,Adults (18-65 years),Both,European
cg02305391,chr10:1314211,10,1314211,ADARB2,Open sea,0.29,0.072,6.1e-05,NA,Gadd-DA_gca_protein_levels__seqid___12594-5__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,GCA protein levels (SeqId = 12594-5),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,GCA protein levels (SeqId = 12594-5),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Grancalcin,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.44,0.112,8.6e-05,NA,Gadd-DA_atg5_protein_levels__seqid___12597-68__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,ATG5 protein levels (SeqId = 12597-68),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,ATG5 protein levels (SeqId = 12597-68),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Autophagy protein 5,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.43,0.111,9.8e-05,NA,Gadd-DA_ash1l_protein_levels__seqid___12622-96__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,ASH1L protein levels (SeqId = 12622-96),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,ASH1L protein levels (SeqId = 12622-96),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Histone-lysine N-methyltransferase ASH1L,774,1,Adults (18-65 years),Both,European
cg02305391,chr10:1314211,10,1314211,ADARB2,Open sea,0.31,0.072,1.8e-05,NA,Gadd-DA_setd2_protein_levels__seqid___12647-52__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,SETD2 protein levels (SeqId = 12647-52),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,SETD2 protein levels (SeqId = 12647-52),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Histone-lysine N-methyltransferase SETD2,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.45,0.112,6.2e-05,NA,Gadd-DA_prmt3_protein_levels__seqid___12696-166__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,PRMT3 protein levels (SeqId = 12696-166),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,PRMT3 protein levels (SeqId = 12696-166),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Protein arginine N-methyltransferase 3,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.45,0.112,5.6e-05,NA,Gadd-DA_dcun1d3_protein_levels__seqid___13553-4__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,DCUN1D3 protein levels (SeqId = 13553-4),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,DCUN1D3 protein levels (SeqId = 13553-4),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: DCN1-like protein 3,774,1,Adults (18-65 years),Both,European
cg23102195,chr5:28927606,5,28927606,-,Island,0.28,0.068,4e-05,NA,Gadd-DA_myom3_protein_levels__seqid___13966-30__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,MYOM3 protein levels (SeqId = 13966-30),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,MYOM3 protein levels (SeqId = 13966-30),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Myomesin-3,774,1,Adults (18-65 years),Both,European
cg02255242,chr15:33420912,15,33420912,-,Open sea,0.45,0.113,6e-05,NA,Gadd-DA_c1qc_protein_levels__seqid___14100-63__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,C1QC protein levels (SeqId = 14100-63),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,C1QC protein levels (SeqId = 14100-63),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Complement C1q subcomponent subunit C,774,1,Adults (18-65 years),Both,European
cg03526776,chr6:41159608,6,41159608,TREML2,Open sea,0.48,0.121,6.1e-05,NA,Gadd-DA_inhbc_protein_levels__seqid___15686-49__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,INHBC protein levels (SeqId = 15686-49),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,INHBC protein levels (SeqId = 15686-49),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Inhibin beta C chain,774,1,Adults (18-65 years),Both,European
cg10260205,chr21:47347742,21,47347742,PCBP3,South shelf,0.527,0.061,7.1e-18,NA,Gadd-DA_col6a1_protein_levels__seqid___16828-8__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,COL6A1 protein levels (SeqId = 16828-8),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,COL6A1 protein levels (SeqId = 16828-8),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Collagen alpha-1(VI) chain,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.47,0.112,2.3e-05,NA,Gadd-DA_wdr5_protein_levels__seqid___17760-128__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,WDR5 protein levels (SeqId = 17760-128),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,WDR5 protein levels (SeqId = 17760-128),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: WD repeat-containing protein 5,774,1,Adults (18-65 years),Both,European
cg06159004,chr11:35068850,11,35068850,-,Open sea,0.35,0.088,5.8e-05,NA,Gadd-DA_serpine2_protein_levels__seqid___19154-41__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,SERPINE2 protein levels (SeqId = 19154-41),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,SERPINE2 protein levels (SeqId = 19154-41),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Glia-derived nexin,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.44,0.112,7.6e-05,NA,Gadd-DA_pdcd1lg2_protein_levels__seqid___3004-67__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,PDCD1LG2 protein levels (SeqId = 3004-67),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,PDCD1LG2 protein levels (SeqId = 3004-67),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Programmed cell death 1 ligand 2,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.46,0.112,3.5e-05,NA,Gadd-DA_lyn_protein_levels__seqid___3381-24__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,LYN protein levels (SeqId = 3381-24),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,LYN protein levels (SeqId = 3381-24),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Tyrosine-protein kinase Lyn,774,1,Adults (18-65 years),Both,European
cg21897367,chr7:142759657,7,142759657,OR6W1P,Open sea,-1.27,0.292,1.4e-05,NA,Gadd-DA_lta_protein_levels__seqid___3505-6__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,LTA protein levels (SeqId = 3505-6),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,LTA protein levels (SeqId = 3505-6),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Lymphotoxin-alpha|Lymphotoxin-beta,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.46,0.112,3.3e-05,NA,Gadd-DA_lta_protein_levels__seqid___3505-6__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,LTA protein levels (SeqId = 3505-6),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,LTA protein levels (SeqId = 3505-6),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Lymphotoxin-alpha|Lymphotoxin-beta,774,1,Adults (18-65 years),Both,European
cg01334824,chr15:27787650,15,27787650,-,South shore,-0.87,0.217,5.4e-05,NA,Gadd-DA_lta_protein_levels__seqid___3505-6__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,LTA protein levels (SeqId = 3505-6),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,LTA protein levels (SeqId = 3505-6),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Lymphotoxin-alpha|Lymphotoxin-beta,774,1,Adults (18-65 years),Both,European
cg15702905,chr5:137937438,5,137937438,-,Open sea,0.34,0.087,8.9e-05,NA,Gadd-DA_lta_protein_levels__seqid___3505-6__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,LTA protein levels (SeqId = 3505-6),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,LTA protein levels (SeqId = 3505-6),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Lymphotoxin-alpha|Lymphotoxin-beta,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.5,0.112,8.4e-06,NA,Gadd-DA_adam9_protein_levels__seqid___3795-6__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,ADAM9 protein levels (SeqId = 3795-6),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,ADAM9 protein levels (SeqId = 3795-6),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Disintegrin and metalloproteinase domain-containing protein 9,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.44,0.112,7.2e-05,NA,Gadd-DA_anp32b_protein_levels__seqid___4194-26__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,ANP32B protein levels (SeqId = 4194-26),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,ANP32B protein levels (SeqId = 4194-26),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Acidic leucine-rich nuclear phosphoprotein 32 family member B,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.45,0.112,5.2e-05,NA,Gadd-DA_ppp3ca_protein_levels__seqid___4903-72__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,PPP3CA protein levels (SeqId = 4903-72),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,PPP3CA protein levels (SeqId = 4903-72),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Calcineurin subunit B type 1|Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.45,0.112,6.6e-05,NA,Gadd-DA_lgals8_protein_levels__seqid___4909-68__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,LGALS8 protein levels (SeqId = 4909-68),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,LGALS8 protein levels (SeqId = 4909-68),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Galectin-8,774,1,Adults (18-65 years),Both,European
cg10578777,chr12:7781093,12,7781093,-,Island,-0.12,0.028,1.1e-05,NA,Gadd-DA_shbg_protein_levels__seqid___4929-55__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,SHBG protein levels (SeqId = 4929-55),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,SHBG protein levels (SeqId = 4929-55),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Sex hormone-binding globulin,774,1,Adults (18-65 years),Both,European
cg16874583,chr12:7781004,12,7781004,-,Island,-0.21,0.05,2.8e-05,NA,Gadd-DA_shbg_protein_levels__seqid___4929-55__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,SHBG protein levels (SeqId = 4929-55),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,SHBG protein levels (SeqId = 4929-55),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Sex hormone-binding globulin,774,1,Adults (18-65 years),Both,European
cg25828445,chr12:7781288,12,7781288,-,South shore,-0.12,0.029,4.6e-05,NA,Gadd-DA_shbg_protein_levels__seqid___4929-55__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,SHBG protein levels (SeqId = 4929-55),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,SHBG protein levels (SeqId = 4929-55),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Sex hormone-binding globulin,774,1,Adults (18-65 years),Both,European
cg09205595,chr7:150782539,7,150782539,AGAP3,North shore,0.59,0.15,9.3e-05,NA,Gadd-DA_colec12_protein_levels__seqid___5457-5__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,COLEC12 protein levels (SeqId = 5457-5),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,COLEC12 protein levels (SeqId = 5457-5),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Collectin-12,774,1,Adults (18-65 years),Both,European
cg02305391,chr10:1314211,10,1314211,ADARB2,Open sea,0.3,0.071,2.1e-05,NA,Gadd-DA_rgma_protein_levels__seqid___5483-1__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,RGMA protein levels (SeqId = 5483-1),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,RGMA protein levels (SeqId = 5483-1),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Repulsive guidance molecule A,774,1,Adults (18-65 years),Both,European
cg05554000,chr7:158905015,7,158905015,VIPR2,North shore,0.19,0.046,2.6e-05,NA,Gadd-DA_acp6_protein_levels__seqid___5742-14__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,ACP6 protein levels (SeqId = 5742-14),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,ACP6 protein levels (SeqId = 5742-14),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Lysophosphatidic acid phosphatase type 6,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.49,0.112,9.4e-06,NA,Gadd-DA_sh3bp2_protein_levels__seqid___7769-29__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,SH3BP2 protein levels (SeqId = 7769-29),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,SH3BP2 protein levels (SeqId = 7769-29),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: SH3 domain-binding protein 2,774,1,Adults (18-65 years),Both,European
cg23102195,chr5:28927606,5,28927606,-,Island,0.27,0.068,7e-05,NA,Gadd-DA_cdhr3_protein_levels__seqid___8222-49__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,CDHR3 protein levels (SeqId = 8222-49),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,CDHR3 protein levels (SeqId = 8222-49),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Cadherin-related family member 3,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.49,0.112,9.9e-06,NA,Gadd-DA_igf1_protein_levels__seqid___8406-17__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,IGF1 protein levels (SeqId = 8406-17),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,IGF1 protein levels (SeqId = 8406-17),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Insulin-like growth factor I,774,1,Adults (18-65 years),Both,European
cg06159004,chr11:35068850,11,35068850,-,Open sea,0.35,0.088,8.5e-05,NA,Gadd-DA_nlgn3_protein_levels__seqid___8941-4__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,NLGN3 protein levels (SeqId = 8941-4),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,NLGN3 protein levels (SeqId = 8941-4),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Neuroligin-3,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.44,0.112,6.9e-05,NA,Gadd-DA_b4galnt1_protein_levels__seqid___8976-13__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,B4GALNT1 protein levels (SeqId = 8976-13),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,B4GALNT1 protein levels (SeqId = 8976-13),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,"Full UniProt name: Beta-1,4 N-acetylgalactosaminyltransferase 1",774,1,Adults (18-65 years),Both,European
cg24786658,chr7:112727423,7,112727423,GPR85,Open sea,-0.47,0.092,2.3e-07,NA,Gadd-DA_crisp2_protein_levels__seqid___9282-12__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,CRISP2 protein levels (SeqId = 9282-12),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,CRISP2 protein levels (SeqId = 9282-12),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Cysteine-rich secretory protein 2,774,1,Adults (18-65 years),Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.45,0.112,4.8e-05,NA,Gadd-DA_nudt9_protein_levels__seqid___9482-110__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,NUDT9 protein levels (SeqId = 9482-110),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,NUDT9 protein levels (SeqId = 9482-110),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,"Full UniProt name: ADP-ribose pyrophosphatase, mitochondrial",774,1,Adults (18-65 years),Both,European
cg02282594,chr14:23399066,14,23399066,PRMT5;LOC101926933,South shore,0.17,0.043,5.7e-05,NA,Gadd-DA_prrg4_protein_levels__seqid___9579-59__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,PRRG4 protein levels (SeqId = 9579-59),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,PRRG4 protein levels (SeqId = 9579-59),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Transmembrane gamma-carboxyglutamic acid protein 4,774,1,Adults (18-65 years),Both,European
cg06159004,chr11:35068850,11,35068850,-,Open sea,0.35,0.088,6.3e-05,NA,Gadd-DA_fhit_protein_levels__seqid___9826-135__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,FHIT protein levels (SeqId = 9826-135),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,FHIT protein levels (SeqId = 9826-135),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Bis(5'-adenosyl)-triphosphatase,774,1,Adults (18-65 years),Both,European
cg10260205,chr21:47347742,21,47347742,PCBP3,South shelf,-0.25,0.061,4.9e-05,NA,Gadd-DA_tdo2_protein_levels__seqid___9880-33__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,TDO2 protein levels (SeqId = 9880-33),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,TDO2 protein levels (SeqId = 9880-33),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,"Full UniProt name: Tryptophan 2,3-dioxygenase",774,1,Adults (18-65 years),Both,European
cg06604206,chr5:167912465,5,167912465,RARS,North shore,-0.54,0.138,9.9e-05,NA,Gadd-DA_tdo2_protein_levels__seqid___9880-33__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,TDO2 protein levels (SeqId = 9880-33),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,TDO2 protein levels (SeqId = 9880-33),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,"Full UniProt name: Tryptophan 2,3-dioxygenase",774,1,Adults (18-65 years),Both,European
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,-0.029,0.00666,1.2e-05,,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model,Robert F Hillary,Generation Scotland,10.1101/2023.01.10.23284387,9/6/2023,Incident Type 2 Diabetes,NA,Basic model,https://doi.org/10.5281/zenodo.8021411,DNA methylation,Incident Type 2 Diabetes,"Age, Sex, Cell composition (reference based)",M values,NA,Illumina HumanMethylationEPIC,Whole blood,,17749,1,Adults (18-65 years),Both,European
cg15525848,chr5:16509123,5,16509123,FAM134B,Open sea,0.035,0.0085,3.8e-05,,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model,Robert F Hillary,Generation Scotland,10.1101/2023.01.10.23284387,9/6/2023,Incident Type 2 Diabetes,NA,Basic model,https://doi.org/10.5281/zenodo.8021411,DNA methylation,Incident Type 2 Diabetes,"Age, Sex, Cell composition (reference based)",M values,NA,Illumina HumanMethylationEPIC,Whole blood,,17749,1,Adults (18-65 years),Both,European
cg27031099,chr8:126620534,8,126620534,-,Open sea,-0.028,0.00493,9.7e-09,,Robert-F-Hillary_Incident_COPD_Basic_model,Robert F Hillary,Generation Scotland,10.1101/2023.01.10.23284387,9/6/2023,Incident COPD,NA,Basic model,https://doi.org/10.5281/zenodo.8021411,DNA methylation,Incident COPD,"Age, Sex, Cell composition (reference based)",M values,NA,Illumina HumanMethylationEPIC,Whole blood,,17902,1,Adults (18-65 years),Both,European
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,-0.03,0.00565,1.4e-07,,Robert-F-Hillary_Incident_COPD_Basic_model,Robert F Hillary,Generation Scotland,10.1101/2023.01.10.23284387,9/6/2023,Incident COPD,NA,Basic model,https://doi.org/10.5281/zenodo.8021411,DNA methylation,Incident COPD,"Age, Sex, Cell composition (reference based)",M values,NA,Illumina HumanMethylationEPIC,Whole blood,,17902,1,Adults (18-65 years),Both,European
